,0,1,2,3,4
0,1.0,0.0,0.0,0.0,0.0
1,1.0,0.0,0.0,0.0,0.0
2,1.0,0.0,0.0,0.0,0.0
3,1.0,0.0,0.0,0.0,0.0
4,1.0,0.0,0.0,0.0,0.0
5,0.80952388048172,1.0,0.0,0.0,0.0
6,0.8777778744697571,1.0,0.0,0.0,0.0
7,0.8777778744697571,1.0,0.0,0.0,0.0
8,0.8222222924232483,1.0,0.0,0.0,0.0
9,0.8555556535720825,1.0,0.0,0.0,0.0
10,0.7509484887123108,0.9430894255638123,0.9999999403953552,0.0,0.0
11,0.7412186861038208,0.9446684122085571,1.0,0.0,0.0
12,0.6996473670005798,0.9351852536201477,1.0,0.0,0.0
13,0.7095679640769958,0.9367284774780273,1.0,0.0,0.0
14,0.7451940774917603,0.93452388048172,1.0,0.0,0.0
15,0.5616804957389832,0.8257246017456055,0.9797705411911011,1.0,0.0
16,0.6534367799758911,0.879020094871521,0.9762805104255676,0.9999999403953552,0.0
17,0.6642833948135376,0.8969816565513611,0.9793143272399902,1.0,0.0
18,0.7143387198448181,0.8989052772521973,0.9783387780189514,1.0,0.0
19,0.6911508440971375,0.9037800431251526,0.9777887463569641,1.0,0.0
20,0.49647849798202515,0.7957494258880615,0.9437460899353027,0.9971428513526917,1.0
21,0.5359753966331482,0.8522328734397888,0.9620014429092407,0.9944148659706116,1.0
22,0.6181513667106628,0.8711131811141968,0.9666435122489929,0.9975192546844482,1.0
23,0.5995627641677856,0.8327861428260803,0.9674866199493408,0.9980903267860413,1.0
24,0.6297706365585327,0.8678041100502014,0.9737642407417297,0.9983423352241516,1.0
